Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,15.65
37.848171,-122.2495763,6001400200,20.47
37.8405983,-122.2544365,6001400300,30.88
37.8482107,-122.2574628,6001400400,49.61
37.8485167,-122.2647445,6001400500,86.57
37.8419909,-122.2648882,6001400600,101.53
37.8417578,-122.2723135,6001400700,104.19
37.8454493,-122.2833803,6001400800,116.58
37.8394669,-122.2802437,6001400900,119.2
37.831217,-122.2719625,6001401000,92.46
37.8304835,-122.2638645,6001401100,101.46
37.8305977,-122.2579072,6001401200,89.79
37.8180997,-122.2667133,6001401300,109.78
37.8207387,-122.2733758,6001401400,81.9
37.8229232,-122.2806358,6001401500,103.03
37.8173716,-122.2814825,6001401600,114.33
37.8134257,-122.3193044,6001401700,129.36
37.809532,-122.298236,6001401800,152.43
37.8063512,-122.2963076,6001402200,152.43
37.812031,-122.2824569,6001402400,152.43
37.8057305,-122.2847803,6001402500,152.43
37.8042711,-122.2799541,6001402600,133.48
37.8103872,-122.2769914,6001402700,98.73
37.8087183,-122.2715003,6001402800,122.65
37.8071501,-122.26681,6001402900,122.65
37.8004265,-122.270732,6001403000,124.65
37.8022742,-122.2755009,6001403100,152.36
37.7944308,-122.2663244,6001403300,147.11
37.8047578,-122.2616693,6001403400,120.6
37.8177294,-122.2600769,6001403501,48.27
37.8159606,-122.2569405,6001403502,22.72
37.8135127,-122.253492,6001403600,45.7
37.8112134,-122.2586656,6001403701,43.98
37.8095265,-122.2520804,6001403702,45.7
37.8148343,-122.2416233,6001403800,45.7
37.8171931,-122.2487541,6001403900,41.07
37.8232774,-122.2536542,6001404000,31.9
37.8300772,-122.2497952,6001404101,30.44
37.8260219,-122.2510667,6001404102,37.18
37.8361078,-122.2344651,6001404200,17.13
37.8451917,-122.2381008,6001404300,18.62
37.8462442,-122.2150894,6001404400,23.82
37.8271275,-122.2171515,6001404501,29.98
37.8345259,-122.2026154,6001404502,35.22
37.8197458,-122.1910599,6001404600,33.75
37.8133625,-122.2070119,6001404700,42.48
37.8055076,-122.2131962,6001404800,73.44
37.8041479,-122.2215015,6001404900,68.19
37.8121648,-122.2190899,6001405000,40.17
