Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,15.2529216
37.848171,-122.2495763,6001400200,61.71331439
37.8405983,-122.2544365,6001400300,58.81578947
37.8482107,-122.2574628,6001400400,60.88212775
37.8485167,-122.2647445,6001400500,61.55691517
37.8419909,-122.2648882,6001400600,62.82564387
37.8417578,-122.2723135,6001400700,68.32328977
37.8454493,-122.2833803,6001400800,65.25332619
37.8394669,-122.2802437,6001400900,77.10303857
37.831217,-122.2719625,6001401000,79.09725546
37.8304835,-122.2638645,6001401100,60.79475741
37.8305977,-122.2579072,6001401200,61.372491
37.8180997,-122.2667133,6001401300,38.8875717
37.8207387,-122.2733758,6001401400,70.41292342
37.8229232,-122.2806358,6001401500,67.06062326
37.8173716,-122.2814825,6001401600,82.51655886
37.8134257,-122.3193044,6001401700,53.24855389
37.809532,-122.298236,6001401800,85.99414077
37.8063512,-122.2963076,6001402200,85.54296145
37.812031,-122.2824569,6001402400,75.64475153
37.8057305,-122.2847803,6001402500,85.61861066
37.8042711,-122.2799541,6001402600,56.55808088
37.8103872,-122.2769914,6001402700,65.04680306
37.8087183,-122.2715003,6001402800,68.20376043
37.8071501,-122.26681,6001402900,56.22846453
37.8004265,-122.270732,6001403000,35.74286557
37.8022742,-122.2755009,6001403100,24.13004471
37.7944308,-122.2663244,6001403300,31.12666777
37.8047578,-122.2616693,6001403400,43.41537767
37.8177294,-122.2600769,6001403501,45.63256839
37.8159606,-122.2569405,6001403502,47.72632674
37.8135127,-122.253492,6001403600,59.61612036
37.8112134,-122.2586656,6001403701,52.43077884
37.8095265,-122.2520804,6001403702,41.9679505
37.8148343,-122.2416233,6001403800,54.03340081
37.8171931,-122.2487541,6001403900,38.72216599
37.8232774,-122.2536542,6001404000,42.57293992
37.8300772,-122.2497952,6001404101,53.38020627
37.8260219,-122.2510667,6001404102,52.48169725
37.8361078,-122.2344651,6001404200,44.65128775
37.8451917,-122.2381008,6001404300,45.28695534
37.8462442,-122.2150894,6001404400,29.02074899
37.8271275,-122.2171515,6001404501,57.28110412
37.8345259,-122.2026154,6001404502,42.73785425
37.8197458,-122.1910599,6001404600,43.96273354
37.8133625,-122.2070119,6001404700,55.02024291
37.8055076,-122.2131962,6001404800,69.19571534
37.8041479,-122.2215015,6001404900,61.25090666
37.8121648,-122.2190899,6001405000,60.08987133
37.8114477,-122.2321836,6001405100,61.80347681
37.8052604,-122.2433878,6001405200,73.31819165
37.8020757,-122.2513558,6001405301,54.06488682
37.7985014,-122.2542495,6001405302,54.54191993
37.7965384,-122.2494562,6001405401,71.30046441
37.7933319,-122.2461006,6001405402,87.60358604
37.7982821,-122.243279,6001405500,78.00517957
37.8008019,-122.2372726,6001405600,60.29473604
37.7982307,-122.2296737,6001405700,77.35313338
37.7939452,-122.2330985,6001405800,84.37420551
37.787786,-122.2357701,6001405901,93.16932344
37.7909446,-122.240953,6001405902,87.93118344
37.7875675,-122.246184,6001406000,53.1074784
37.7741552,-122.2275943,6001406100,71.69490482
37.7850448,-122.230736,6001406201,90.53907577
37.7819786,-122.2265557,6001406202,88.63803905
37.7892881,-122.2250125,6001406300,87.54177438
37.796806,-122.2217201,6001406400,79.22480318
37.7880813,-122.2169867,6001406500,84.85907005
37.7936085,-122.2079568,6001406601,83.50527571
37.7964782,-122.2143073,6001406602,80.15050928
37.8033164,-122.2022249,6001406700,54.61791498
37.7978944,-122.1949575,6001406800,67.00490584
37.7932754,-122.1903803,6001406900,71.24719457
37.787943,-122.2024899,6001407000,80.92959311
37.7831287,-122.2143966,6001407101,83.19707599
37.7807761,-122.2102385,6001407102,89.35669458
37.7777848,-122.2192819,6001407200,88.66219836
37.7621786,-122.2109235,6001407300,87.19192847
37.7710407,-122.2067479,6001407400,93.60018908
37.769515,-122.1976091,6001407500,94.15064147
37.7775293,-122.2031992,6001407600,80.89994712
37.7765228,-122.1931965,6001407700,69.51645872
37.7817414,-122.1866595,6001407800,72.50316195
37.7884276,-122.1847835,6001407900,70.2885697
37.805237,-122.1887608,6001408000,36.8395749
37.785376,-122.1574761,6001408100,22.79966458
37.7751005,-122.1755727,6001408200,77.92336802
37.7710979,-122.1645166,6001408300,77.62925555
37.7646056,-122.1709595,6001408400,87.32528869
37.7604176,-122.1785112,6001408500,90.18135435
37.7661964,-122.1823031,6001408600,96.32703123
37.7688611,-122.1889435,6001408700,90.31865232
37.7588039,-122.1969422,6001408800,93.48756049
37.7541816,-122.1887803,6001408900,85.9298388
37.7200105,-122.2213677,6001409000,90.23219665
37.7323261,-122.1834997,6001409100,93.87316131
37.7290846,-122.1777872,6001409200,84.90755157
37.737851,-122.1733521,6001409300,90.02133651
37.744613,-122.1803623,6001409400,91.3840332
37.7504463,-122.1837659,6001409500,92.55717689
37.7532669,-122.1726197,6001409600,88.57793656
37.7564187,-122.1658929,6001409700,82.2990864
37.7603609,-122.1557636,6001409800,73.69208336
37.7619882,-122.1353845,6001409900,51.44180963
37.7447566,-122.1332163,6001410000,51.72655107
37.7478642,-122.1535285,6001410100,71.10484388
37.7453063,-122.1571742,6001410200,87.02403245
37.7466798,-122.1661407,6001410300,88.04580026
37.7408161,-122.1621741,6001410400,75.5028762
37.8100197,-122.288956,6001410500,89.63099676
37.8947731,-122.2910214,6001420100,60.2242477
37.8944611,-122.2974624,6001420200,72.89265113
37.8906102,-122.3182668,6001420300,57.25956064
37.8886213,-122.3256618,6001420400,45.91964391
37.8867059,-122.2950048,6001420500,73.2262533
37.8870336,-122.2870621,6001420600,59.75708502
37.899434,-122.2661928,6001421100,56.68269231
37.8975481,-122.2752271,6001421200,61.77432488
37.8911093,-122.2813663,6001421300,59.92408907
37.8883409,-122.270922,6001421400,59.87854251
37.8920346,-122.2590314,6001421500,54.61032389
37.8839567,-122.2559829,6001421600,54.74915744
37.8819398,-122.2701843,6001421700,64.66827657
37.8802854,-122.2782006,6001421800,65.25790889
37.8794799,-122.2896443,6001421900,67.62356991
37.8590327,-122.3013426,6001422000,52.37666777
37.8733005,-122.2965391,6001422100,57.07402017
37.8728822,-122.2878154,6001422200,58.18366172
37.8740723,-122.2779152,6001422300,58.54070348
37.8752396,-122.2695878,6001422400,42.19129555
37.8773131,-122.2603183,6001422500,64.31437541
37.8738125,-122.2545472,6001422600,0.0
37.8679125,-122.2495401,6001422700,50.38208502
37.8667875,-122.259979,6001422800,53.26141401
37.8678899,-122.269247,6001422900,24.81868704
37.8668441,-122.2771352,6001423000,58.75941376
37.865807,-122.2863197,6001423100,60.10352195
37.8645164,-122.2936857,6001423200,68.8844231
37.8573287,-122.2842021,6001423300,71.34727682
37.8583737,-122.275884,6001423400,70.27822124
37.859365,-122.2680467,6001423500,71.69568863
37.8588968,-122.2587175,6001423601,64.07602176
37.8631882,-122.2592723,6001423602,48.11234818
37.8618413,-122.248923,6001423700,64.54524211
37.8547587,-122.2441385,6001423800,57.92004049
37.8523001,-122.2675177,6001423901,59.36395319
37.8547152,-122.2573724,6001423902,58.26923077
37.8503526,-122.2746683,6001424001,70.49104425
37.8504976,-122.2815989,6001424002,68.86755979
37.8381928,-122.3061755,6001425101,33.93779042
37.8400768,-122.2946582,6001425102,9.320552434
37.8426202,-122.2898443,6001425103,18.37108495
37.8326526,-122.2833798,6001425104,48.40159353
37.8216214,-122.2253292,6001426100,56.73582996
37.824626,-122.2406227,6001426200,65.86762122
37.765116,-122.2309908,6001427100,59.72163989
37.7847324,-122.2529164,6001427200,65.7884562
37.7810489,-122.2662775,6001427300,55.33803799
37.7778323,-122.2835979,6001427600,65.78543578
37.7680009,-122.2852965,6001427700,64.94026471
37.7714922,-122.2690581,6001427800,66.54555858
37.7698045,-122.2582454,6001427900,62.39961864
37.7666414,-122.2475404,6001428000,51.63785078
37.7589136,-122.2346068,6001428100,63.73113376
37.7533266,-122.2396733,6001428200,58.31579749
37.7334484,-122.2406697,6001428301,24.83968706
37.7439709,-122.249779,6001428302,7.018985077
37.756593,-122.2563814,6001428400,66.38297165
37.7601324,-122.2593887,6001428500,46.38165639
37.766273,-122.2738461,6001428600,27.40178581
37.7801283,-122.3050028,6001428700,18.14775726
37.7272587,-122.0152514,6001430101,11.84009566
37.7726562,-122.0747102,6001430102,23.66005122
37.7216743,-122.0615667,6001430200,39.88898177
37.7229094,-122.0837445,6001430300,49.25183869
37.7202531,-122.1010932,6001430400,50.9127939
37.704911,-122.1091519,6001430500,72.62828346
37.7041735,-122.0969654,6001430600,52.85027453
37.7060949,-122.0822257,6001430700,63.71389791
37.6992244,-122.0650347,6001430800,61.4287639
37.6982784,-122.0828322,6001430900,67.55656266
37.6929313,-122.0784575,6001431000,76.97407678
37.6881143,-122.0672947,6001431100,70.86954269
37.6855718,-122.0836768,6001431200,48.09731287
37.7358429,-122.1466229,6001432100,74.59240303
37.7330544,-122.1562452,6001432200,82.52648938
37.7308826,-122.1656193,6001432300,55.09650903
37.7097451,-122.1898921,6001432400,71.578464
37.7167153,-122.1661575,6001432501,68.83916764
37.7234343,-122.1734869,6001432502,70.42733782
37.7226922,-122.1551539,6001432600,63.5812988
37.7270703,-122.1428437,6001432700,63.94361494
37.7212241,-122.1245218,6001432800,53.33710729
37.7158642,-122.1354706,6001433000,71.82216679
37.7021541,-122.1335017,6001433102,58.72024051
37.7093273,-122.139054,6001433103,62.40743673
37.7142641,-122.1469937,6001433104,50.36643014
37.70175,-122.1470769,6001433200,74.99101621
37.6985801,-122.1574574,6001433300,80.83317488
37.684528,-122.1689582,6001433400,23.0304979
37.6845009,-122.1553145,6001433500,75.76895971
37.6860081,-122.1437942,6001433600,70.04328726
37.6876344,-122.1146758,6001433700,79.21016979
37.6988143,-122.123482,6001433800,74.68054383
37.6992653,-122.1135398,6001433900,71.15310507
37.6923654,-122.1103206,6001434000,81.77472814
37.6552403,-122.0458797,6001435102,30.70233301
37.6518042,-121.9830876,6001435103,8.087135334
37.6385981,-122.038971,6001435104,45.74198696
37.6874049,-122.0517821,6001435200,52.44624411
37.6807791,-122.064666,6001435300,57.09228686
37.6739266,-122.0831568,6001435400,59.29150198
37.6809369,-122.09333,6001435500,72.05583226
37.6746689,-122.1022655,6001435601,79.73006821
37.6819278,-122.1069995,6001435602,78.02295488
37.6786494,-122.1160735,6001435700,78.6718725
37.6793691,-122.1296018,6001435800,79.82425918
37.6724681,-122.147305,6001435900,74.6353351
37.6691812,-122.1375262,6001436000,77.00835888
37.6718054,-122.1235777,6001436100,67.6136207
37.6685048,-122.11212,6001436200,62.75893172
37.666274,-122.0917198,6001436300,73.06278375
37.6715227,-122.0650918,6001436401,59.42421859
37.6668495,-122.0404785,6001436402,32.88269391
37.6586897,-122.0691461,6001436500,63.91229316
37.6567907,-122.0788937,6001436601,81.43330921
37.65183,-122.0851818,6001436602,54.0100133
37.6619708,-122.1005196,6001436700,66.05996763
37.6535732,-122.0944503,6001436800,77.99580053
37.6603503,-122.1097202,6001436900,80.50311522
37.6471694,-122.1015827,6001437000,62.94927788
