Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,8.953297225
37.848171,-122.2495763,6001400200,9.298860476
37.8405983,-122.2544365,6001400300,9.445812195
37.8482107,-122.2574628,6001400400,9.369731128
37.8485167,-122.2647445,6001400500,9.369731128
37.8419909,-122.2648882,6001400600,9.369731128
37.8417578,-122.2723135,6001400700,9.409114727
37.8454493,-122.2833803,6001400800,9.455344585
37.8394669,-122.2802437,6001400900,9.455344585
37.831217,-122.2719625,6001401000,9.618671793
37.8304835,-122.2638645,6001401100,9.673710228
37.8305977,-122.2579072,6001401200,9.543246848
37.8180997,-122.2667133,6001401300,9.771344995
37.8207387,-122.2733758,6001401400,10.12088161
37.8229232,-122.2806358,6001401500,9.890660139
37.8173716,-122.2814825,6001401600,10.12088161
37.8134257,-122.3193044,6001401700,9.691613752
37.809532,-122.298236,6001401800,9.737947129
37.8063512,-122.2963076,6001402200,9.717527299
37.812031,-122.2824569,6001402400,10.18011782
37.8057305,-122.2847803,6001402500,9.942820267
37.8042711,-122.2799541,6001402600,9.942820267
37.8103872,-122.2769914,6001402700,9.918430785
37.8087183,-122.2715003,6001402800,9.918430785
37.8071501,-122.26681,6001402900,9.918430785
37.8004265,-122.270732,6001403000,9.827975665
37.8022742,-122.2755009,6001403100,9.827975665
37.7944308,-122.2663244,6001403300,9.827975665
37.8047578,-122.2616693,6001403400,9.740708725
37.8177294,-122.2600769,6001403501,9.771344995
37.8159606,-122.2569405,6001403502,9.740708725
37.8135127,-122.253492,6001403600,9.589680531
37.8112134,-122.2586656,6001403701,9.740708725
37.8095265,-122.2520804,6001403702,9.589680531
37.8148343,-122.2416233,6001403800,9.456642118
37.8171931,-122.2487541,6001403900,9.589680531
37.8232774,-122.2536542,6001404000,9.579891896
37.8300772,-122.2497952,6001404101,9.360530845
37.8260219,-122.2510667,6001404102,9.579891896
37.8361078,-122.2344651,6001404200,9.207915832
37.8451917,-122.2381008,6001404300,9.246029342
37.8462442,-122.2150894,6001404400,8.990640239
37.8271275,-122.2171515,6001404501,9.074494233
37.8345259,-122.2026154,6001404502,8.905661106
37.8197458,-122.1910599,6001404600,8.9057603
37.8133625,-122.2070119,6001404700,9.118678198
37.8055076,-122.2131962,6001404800,9.1634663
37.8041479,-122.2215015,6001404900,9.271229976
37.8121648,-122.2190899,6001405000,9.284094792
37.8114477,-122.2321836,6001405100,9.430964922
37.8052604,-122.2433878,6001405200,9.581723377
37.8020757,-122.2513558,6001405301,9.581723377
37.7985014,-122.2542495,6001405302,9.805884825
37.7965384,-122.2494562,6001405401,9.805884825
37.7933319,-122.2461006,6001405402,9.562347137
37.7982821,-122.243279,6001405500,9.562347137
37.8008019,-122.2372726,6001405600,9.409199301
37.7982307,-122.2296737,6001405700,9.409199301
37.7939452,-122.2330985,6001405800,9.409199301
37.787786,-122.2357701,6001405901,9.478637686
37.7909446,-122.240953,6001405902,9.478637686
37.7875675,-122.246184,6001406000,9.805884825
37.7741552,-122.2275943,6001406100,9.237722475
