Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,34.0187327875838
37.848171,-122.2495763,6001400200,33.0230323895182
37.8405983,-122.2544365,6001400300,36.6374782120696
37.8482107,-122.2574628,6001400400,33.8159748218763
37.8485167,-122.2647445,6001400500,35.8768790069336
37.8419909,-122.2648882,6001400600,37.8568061087603
37.8417578,-122.2723135,6001400700,46.8690933663437
37.8454493,-122.2833803,6001400800,48.4912454313775
37.8394669,-122.2802437,6001400900,48.4622739349837
37.831217,-122.2719625,6001401000,54.7261465053621
37.8304835,-122.2638645,6001401100,45.0368989352125
37.8305977,-122.2579072,6001401200,40.8733098057441
37.8180997,-122.2667133,6001401300,51.4233805821794
37.8207387,-122.2733758,6001401400,55.5345165210264
37.8229232,-122.2806358,6001401500,53.2742264631093
37.8173716,-122.2814825,6001401600,52.9335789378964
37.8134257,-122.3193044,6001401700,60.3019148262866
37.809532,-122.298236,6001401800,52.6025319050001
37.8063512,-122.2963076,6001402200,58.5259732545446
37.812031,-122.2824569,6001402400,47.508389902856
37.8057305,-122.2847803,6001402500,52.0366088447263
37.8042711,-122.2799541,6001402600,50.7176841284568
37.8103872,-122.2769914,6001402700,49.1744362167718
37.8087183,-122.2715003,6001402800,49.427768487973
37.8071501,-122.26681,6001402900,47.7981362207613
37.8004265,-122.270732,6001403000,51.5887572340635
37.8022742,-122.2755009,6001403100,48.6064830213377
37.7944308,-122.2663244,6001403300,51.8542978790634
37.8047578,-122.2616693,6001403400,47.5491133617837
37.8177294,-122.2600769,6001403501,45.1606312546646
37.8159606,-122.2569405,6001403502,42.1741150287754
37.8135127,-122.253492,6001403600,42.2790802909918
37.8112134,-122.2586656,6001403701,37.8648345311365
37.8095265,-122.2520804,6001403702,39.4582081735692
37.8148343,-122.2416233,6001403800,37.1546318563939
37.8171931,-122.2487541,6001403900,39.1996530154218
37.8232774,-122.2536542,6001404000,40.1372194299554
37.8300772,-122.2497952,6001404101,37.1615257444169
37.8260219,-122.2510667,6001404102,35.8267170699005
37.8361078,-122.2344651,6001404200,34.3832741392155
37.8451917,-122.2381008,6001404300,29.9281683806874
37.8462442,-122.2150894,6001404400,22.1367619741616
37.8271275,-122.2171515,6001404501,29.9967388279617
37.8345259,-122.2026154,6001404502,25.0230362344507
37.8197458,-122.1910599,6001404600,24.2494246107411
37.8133625,-122.2070119,6001404700,26.2312355762826
37.8055076,-122.2131962,6001404800,27.1196722756783
37.8041479,-122.2215015,6001404900,35.3151428803279
37.8121648,-122.2190899,6001405000,34.8492895184299
37.8114477,-122.2321836,6001405100,35.3338572204739
37.8052604,-122.2433878,6001405200,41.7207907824234
37.8020757,-122.2513558,6001405301,32.5924126924933
37.7985014,-122.2542495,6001405302,38.7999629978749
37.7965384,-122.2494562,6001405401,39.280232404587
37.7933319,-122.2461006,6001405402,39.8499016682205
37.7982821,-122.243279,6001405500,34.1205609097176
37.8008019,-122.2372726,6001405600,37.0606407134036
37.7982307,-122.2296737,6001405700,38.6403838218909
37.7939452,-122.2330985,6001405800,30.6463634467709
37.787786,-122.2357701,6001405901,42.5594273468581
37.7909446,-122.240953,6001405902,41.2559033323937
37.7875675,-122.246184,6001406000,55.069072406778
37.7741552,-122.2275943,6001406100,59.4557238080292
37.7850448,-122.230736,6001406201,43.7185331404754
37.7819786,-122.2265557,6001406202,43.9577304393274
37.7892881,-122.2250125,6001406300,34.7966101931449
37.796806,-122.2217201,6001406400,39.0655859050038
37.7880813,-122.2169867,6001406500,37.7649471210118
37.7936085,-122.2079568,6001406601,35.7756314370609
37.7964782,-122.2143073,6001406602,34.9414479183291
37.8033164,-122.2022249,6001406700,25.7211633075524
37.7978944,-122.1949575,6001406800,28.2744591416518
37.7932754,-122.1903803,6001406900,30.2562141940266
37.787943,-122.2024899,6001407000,35.1450647793007
37.7831287,-122.2143966,6001407101,32.8401066136926
37.7807761,-122.2102385,6001407102,40.0457322096368
37.7777848,-122.2192819,6001407200,47.9372446902322
37.7621786,-122.2109235,6001407300,62.3119935911422
37.7710407,-122.2067479,6001407400,47.8642372683834
37.769515,-122.1976091,6001407500,42.3454817378443
37.7775293,-122.2031992,6001407600,41.2361812904032
37.7765228,-122.1931965,6001407700,24.7164543887099
37.7817414,-122.1866595,6001407800,33.7424525737479
37.7884276,-122.1847835,6001407900,33.7051766655188
37.805237,-122.1887608,6001408000,19.7182681262482
37.785376,-122.1574761,6001408100,28.7144565952621
37.7751005,-122.1755727,6001408200,26.3570227659248
37.7710979,-122.1645166,6001408300,35.7904282788881
37.7646056,-122.1709595,6001408400,26.1006250216832
37.7604176,-122.1785112,6001408500,32.7875076254126
37.7661964,-122.1823031,6001408600,32.9972326013404
37.7688611,-122.1889435,6001408700,34.0328851627511
37.7588039,-122.1969422,6001408800,55.5086955244853
37.7541816,-122.1887803,6001408900,49.2355449000809
37.7200105,-122.2213677,6001409000,61.0882977394832
37.7323261,-122.1834997,6001409100,53.3425813552842
37.7290846,-122.1777872,6001409200,49.151045879148
37.737851,-122.1733521,6001409300,39.6262879164009
37.744613,-122.1803623,6001409400,47.311901740128
37.7504463,-122.1837659,6001409500,47.5583481921228
37.7532669,-122.1726197,6001409600,29.7117649298226
37.7564187,-122.1658929,6001409700,22.962319941176
37.7603609,-122.1557636,6001409800,35.832125778955
37.7619882,-122.1353845,6001409900,33.7890576301916
37.7447566,-122.1332163,6001410000,37.4853934592751
37.7478642,-122.1535285,6001410100,36.8200159847727
37.7453063,-122.1571742,6001410200,30.044786004546
37.7466798,-122.1661407,6001410300,30.0157761302878
37.7408161,-122.1621741,6001410400,28.773395053887
37.8100197,-122.288956,6001410500,53.4107068407989
37.8947731,-122.2910214,6001420100,38.4546613550021
37.8944611,-122.2974624,6001420200,44.1290946964053
37.8906102,-122.3182668,6001420300,52.2739501264745
37.8886213,-122.3256618,6001420400,52.6772192340607
37.8867059,-122.2950048,6001420500,47.4049284977869
37.8870336,-122.2870621,6001420600,38.9083872875039
37.899434,-122.2661928,6001421100,17.4033822981214
37.8975481,-122.2752271,6001421200,21.2821518636408
37.8911093,-122.2813663,6001421300,31.4351587344788
37.8883409,-122.270922,6001421400,21.0699195605415
37.8920346,-122.2590314,6001421500,16.5951232414134
37.8839567,-122.2559829,6001421600,26.8123806752952
37.8819398,-122.2701843,6001421700,33.3433307595537
37.8802854,-122.2782006,6001421800,30.8291599058622
37.8794799,-122.2896443,6001421900,42.7025063844267
37.8590327,-122.3013426,6001422000,60.1321009760351
37.8733005,-122.2965391,6001422100,46.8221273247845
37.8728822,-122.2878154,6001422200,41.8798117817453
37.8740723,-122.2779152,6001422300,38.2079887610032
37.8752396,-122.2695878,6001422400,37.2361311363818
37.8773131,-122.2603183,6001422500,34.3976087015124
37.8738125,-122.2545472,6001422600,35.3686318503107
37.8679125,-122.2495401,6001422700,27.4611394587234
37.8667875,-122.259979,6001422800,34.4852474540813
37.8678899,-122.269247,6001422900,29.9410312285521
37.8668441,-122.2771352,6001423000,41.1717097915466
37.865807,-122.2863197,6001423100,46.5442525960159
37.8645164,-122.2936857,6001423200,50.2988851030069
37.8573287,-122.2842021,6001423300,49.533629398915
37.8583737,-122.275884,6001423400,40.1019935622598
37.859365,-122.2680467,6001423500,34.71645093123
37.8588968,-122.2587175,6001423601,34.014974951793
37.8631882,-122.2592723,6001423602,31.0419060488102
