Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,1.16715475984038
37.848171,-122.2495763,6001400200,1.21080840419957
37.8405983,-122.2544365,6001400300,2.50462116058262
37.8482107,-122.2574628,6001400400,3.00082803059887
37.8485167,-122.2647445,6001400500,3.82022653393945
37.8419909,-122.2648882,6001400600,4.33210276061787
37.8417578,-122.2723135,6001400700,6.41521988744361
37.8454493,-122.2833803,6001400800,6.26560265451957
37.8394669,-122.2802437,6001400900,6.87923382282406
37.831217,-122.2719625,6001401000,6.54540669572587
37.8304835,-122.2638645,6001401100,5.98774804822111
37.8305977,-122.2579072,6001401200,4.05757531022106
37.8180997,-122.2667133,6001401300,6.9563764214527
37.8207387,-122.2733758,6001401400,6.64883897116833
37.8229232,-122.2806358,6001401500,6.84546740208534
37.8173716,-122.2814825,6001401600,7.54736254843569
37.8134257,-122.3193044,6001401700,5.90389495896187
37.809532,-122.298236,6001401800,7.02170986456447
37.8063512,-122.2963076,6001402200,7.81138683930991
37.812031,-122.2824569,6001402400,6.43135535627294
37.8057305,-122.2847803,6001402500,7.99746215063999
37.8042711,-122.2799541,6001402600,6.8012652931428
37.8103872,-122.2769914,6001402700,6.47460791876006
37.8087183,-122.2715003,6001402800,6.91310236714185
37.8071501,-122.26681,6001402900,6.23585199662809
37.8004265,-122.270732,6001403000,8.47883512851319
37.8022742,-122.2755009,6001403100,6.05906002264881
37.7944308,-122.2663244,6001403300,7.24645638850285
37.8047578,-122.2616693,6001403400,5.06992224630793
37.8177294,-122.2600769,6001403501,4.59001983243262
37.8159606,-122.2569405,6001403502,3.85943219314337
37.8135127,-122.253492,6001403600,4.95584720114146
37.8112134,-122.2586656,6001403701,3.04890904709739
37.8095265,-122.2520804,6001403702,3.10960422087309
37.8148343,-122.2416233,6001403800,2.58329241350695
37.8171931,-122.2487541,6001403900,3.34336677567875
37.8232774,-122.2536542,6001404000,1.81438760264254
37.8300772,-122.2497952,6001404101,2.05963849626708
37.8260219,-122.2510667,6001404102,2.95410450148463
37.8361078,-122.2344651,6001404200,1.73980176121501
37.8451917,-122.2381008,6001404300,1.04641393426907
37.8462442,-122.2150894,6001404400,1.69104074093618
37.8271275,-122.2171515,6001404501,1.25281559394815
37.8345259,-122.2026154,6001404502,2.05232861216675
37.8197458,-122.1910599,6001404600,1.58562644037279
37.8133625,-122.2070119,6001404700,1.4683907558499
37.8055076,-122.2131962,6001404800,4.32797425044362
37.8041479,-122.2215015,6001404900,3.55711386282331
37.8121648,-122.2190899,6001405000,1.74380151965132
37.8114477,-122.2321836,6001405100,1.45507579497151
37.8052604,-122.2433878,6001405200,4.31310382937207
37.8020757,-122.2513558,6001405301,5.45037414260722
37.7985014,-122.2542495,6001405302,6.37700215501184
37.7965384,-122.2494562,6001405401,6.95638967048637
37.7933319,-122.2461006,6001405402,7.49545285363819
37.7982821,-122.243279,6001405500,6.80436400374235
37.8008019,-122.2372726,6001405600,5.48572728026798
37.7982307,-122.2296737,6001405700,6.38569742461723
37.7939452,-122.2330985,6001405800,7.69701863020926
37.787786,-122.2357701,6001405901,7.63580855910443
37.7909446,-122.240953,6001405902,8.18976838973593
37.7875675,-122.246184,6001406000,7.46578564139678
37.7741552,-122.2275943,6001406100,7.83312780232612
37.7850448,-122.230736,6001406201,8.53742957616144
37.7819786,-122.2265557,6001406202,7.82732921821667
37.7892881,-122.2250125,6001406300,7.32176552955435
37.796806,-122.2217201,6001406400,6.34164921850125
37.7880813,-122.2169867,6001406500,7.8869061107478
37.7936085,-122.2079568,6001406601,6.18690071803142
37.7964782,-122.2143073,6001406602,6.10876603297682
37.8033164,-122.2022249,6001406700,3.25481995218803
37.7978944,-122.1949575,6001406800,3.76655716534236
37.7932754,-122.1903803,6001406900,5.54394642461126
37.787943,-122.2024899,6001407000,6.92155694934015
37.7831287,-122.2143966,6001407101,7.54323677749136
37.7807761,-122.2102385,6001407102,7.24358308574237
37.7777848,-122.2192819,6001407200,8.2787321890902
37.7621786,-122.2109235,6001407300,8.54774899074975
37.7710407,-122.2067479,6001407400,7.76427958224837
37.769515,-122.1976091,6001407500,8.7904563555725
37.7775293,-122.2031992,6001407600,6.1769672479769
37.7765228,-122.1931965,6001407700,5.21455172315727
37.7817414,-122.1866595,6001407800,4.3585684462826
37.7884276,-122.1847835,6001407900,3.48426871726266
37.805237,-122.1887608,6001408000,1.99469898879211
37.785376,-122.1574761,6001408100,3.88070842873041
