Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,626.7743327
37.848171,-122.2495763,6001400200,609.9600016
37.8405983,-122.2544365,6001400300,598.8776754
37.8482107,-122.2574628,6001400400,624.6293233
37.8485167,-122.2647445,6001400500,641.7226664
37.8419909,-122.2648882,6001400600,616.1283366
37.8417578,-122.2723135,6001400700,626.3293457
37.8454493,-122.2833803,6001400800,643.7006531
37.8394669,-122.2802437,6001400900,607.7586772
37.831217,-122.2719625,6001401000,573.4333293
37.8304835,-122.2638645,6001401100,569.1846618
37.8305977,-122.2579072,6001401200,567.1623433
37.8180997,-122.2667133,6001401300,519.5399984
37.8207387,-122.2733758,6001401400,531.8036702
37.8229232,-122.2806358,6001401500,541.656016
37.8173716,-122.2814825,6001401600,529.8709819
37.8134257,-122.3193044,6001401700,528.2719828
37.809532,-122.298236,6001401800,500.114329
37.8063512,-122.2963076,6001402200,486.8523356
37.812031,-122.2824569,6001402400,504.0646769
37.8057305,-122.2847803,6001402500,485.5356547
37.8042711,-122.2799541,6001402600,479.4716797
37.8103872,-122.2769914,6001402700,495.6146749
37.8087183,-122.2715003,6001402800,491.8273214
37.8071501,-122.26681,6001402900,486.1893311
37.8004265,-122.270732,6001403000,469.2389933
37.8022742,-122.2755009,6001403100,472.1140035
37.7944308,-122.2663244,6001403300,454.1280009
37.8047578,-122.2616693,6001403400,477.2656657
37.8177294,-122.2600769,6001403501,517.0360107
37.8159606,-122.2569405,6001403502,510.2933451
37.8135127,-122.253492,6001403600,505.8093364
37.8112134,-122.2586656,6001403701,501.2183431
37.8095265,-122.2520804,6001403702,487.9853414
37.8148343,-122.2416233,6001403800,512.6900025
37.8171931,-122.2487541,6001403900,518.0463359
37.8232774,-122.2536542,6001404000,539.6776733
37.8300772,-122.2497952,6001404101,561.6329854
37.8260219,-122.2510667,6001404102,549.0273132
37.8361078,-122.2344651,6001404200,558.5746664
37.8451917,-122.2381008,6001404300,582.4613241
37.8462442,-122.2150894,6001404400,543.7406514
37.8271275,-122.2171515,6001404501,513.1266683
37.8345259,-122.2026154,6001404502,506.6686605
37.8197458,-122.1910599,6001404600,475.4086609
37.8133625,-122.2070119,6001404700,486.0876567
37.8055076,-122.2131962,6001404800,476.5063477
37.8041479,-122.2215015,6001404900,476.1389974
37.8121648,-122.2190899,6001405000,485.8306783
37.8114477,-122.2321836,6001405100,497.9440003
37.8052604,-122.2433878,6001405200,480.4710083
37.8020757,-122.2513558,6001405301,467.909668
37.7985014,-122.2542495,6001405302,461.8780111
37.7965384,-122.2494562,6001405401,458.0093384
37.7933319,-122.2461006,6001405402,449.1513367
37.7982821,-122.243279,6001405500,462.3926697
37.8008019,-122.2372726,6001405600,470.4736735
37.7982307,-122.2296737,6001405700,460.2476705
37.7939452,-122.2330985,6001405800,450.851003
37.787786,-122.2357701,6001405901,437.4860026
37.7909446,-122.240953,6001405902,446.5126546
37.7875675,-122.246184,6001406000,438.6869914
37.7741552,-122.2275943,6001406100,423.3010051
37.7850448,-122.230736,6001406201,432.2310079
37.7819786,-122.2265557,6001406202,426.1776733
37.7892881,-122.2250125,6001406300,439.4066569
37.796806,-122.2217201,6001406400,454.5043234
37.7880813,-122.2169867,6001406500,437.7293396
37.7936085,-122.2079568,6001406601,452.1289978
37.7964782,-122.2143073,6001406602,458.7276713
37.8033164,-122.2022249,6001406700,466.9539896
37.7978944,-122.1949575,6001406800,454.5349935
37.7932754,-122.1903803,6001406900,447.0623271
37.787943,-122.2024899,6001407000,441.3366699
37.7831287,-122.2143966,6001407101,431.0096639
37.7807761,-122.2102385,6001407102,426.3786621
37.7777848,-122.2192819,6001407200,421.622345
37.7621786,-122.2109235,6001407300,422.1023356
37.7710407,-122.2067479,6001407400,417.5216675
37.769515,-122.1976091,6001407500,421.9706726
37.7775293,-122.2031992,6001407600,425.2993266
37.7765228,-122.1931965,6001407700,429.8896586
37.7817414,-122.1866595,6001407800,437.2073364
37.7884276,-122.1847835,6001407900,443.345988
37.805237,-122.1887608,6001408000,453.986674
37.785376,-122.1574761,6001408100,434.1863403
37.7751005,-122.1755727,6001408200,437.4129944
37.7710979,-122.1645166,6001408300,436.1206767
37.7646056,-122.1709595,6001408400,440.8570048
37.7604176,-122.1785112,6001408500,449.5659994
37.7661964,-122.1823031,6001408600,440.9060059
37.7688611,-122.1889435,6001408700,429.4783427
37.7588039,-122.1969422,6001408800,673.3439941
37.7541816,-122.1887803,6001408900,1011.081319
37.7200105,-122.2213677,6001409000,626.422994
37.7323261,-122.1834997,6001409100,590.1259969
37.7290846,-122.1777872,6001409200,611.8463338
37.737851,-122.1733521,6001409300,507.2693278
37.744613,-122.1803623,6001409400,525.1929932
37.7504463,-122.1837659,6001409500,623.0273438
37.7532669,-122.1726197,6001409600,462.2129924
37.7564187,-122.1658929,6001409700,447.3859863
37.7603609,-122.1557636,6001409800,434.7293396
37.7619882,-122.1353845,6001409900,422.3803406
37.7447566,-122.1332163,6001410000,426.0339966
37.7478642,-122.1535285,6001410100,442.4186706
37.7453063,-122.1571742,6001410200,447.2146708
37.7466798,-122.1661407,6001410300,462.8706665
37.7408161,-122.1621741,6001410400,467.508667
37.8100197,-122.288956,6001410500,498.1626689
37.8947731,-122.2910214,6001420100,954.4093222
37.8944611,-122.2974624,6001420200,1000.406677
37.8906102,-122.3182668,6001420300,1096.458313
37.8886213,-122.3256618,6001420400,1004.837667
37.8867059,-122.2950048,6001420500,910.2263388
37.8870336,-122.2870621,6001420600,872.7456665
37.899434,-122.2661928,6001421100,854.5403241
37.8975481,-122.2752271,6001421200,882.6427003
37.8911093,-122.2813663,6001421300,874.3396605
37.8883409,-122.270922,6001421400,811.8016867
37.8920346,-122.2590314,6001421500,788.9550169
37.8839567,-122.2559829,6001421600,738.3069966
37.8819398,-122.2701843,6001421700,777.7579957
37.8802854,-122.2782006,6001421800,798.8449706
37.8794799,-122.2896443,6001421900,841.7330118
37.8590327,-122.3013426,6001422000,785.6906738
37.8733005,-122.2965391,6001422100,846.2783611
37.8728822,-122.2878154,6001422200,798.2540183
37.8740723,-122.2779152,6001422300,767.3486633
37.8752396,-122.2695878,6001422400,744.9166565
37.8773131,-122.2603183,6001422500,725.309672
37.8738125,-122.2545472,6001422600,694.3263245
37.8679125,-122.2495401,6001422700,655.0800069
