Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,965.9461667
37.848171,-122.2495763,6001400200,716.822539
37.8405983,-122.2544365,6001400300,776.490765
37.8482107,-122.2574628,6001400400,721.5428013
37.8485167,-122.2647445,6001400500,862.26686
37.8419909,-122.2648882,6001400600,1164.215181
37.8417578,-122.2723135,6001400700,911.6008051
37.8454493,-122.2833803,6001400800,675.872715
37.8394669,-122.2802437,6001400900,590.0743735
37.831217,-122.2719625,6001401000,1454.943298
37.8304835,-122.2638645,6001401100,1802.449805
37.8305977,-122.2579072,6001401200,1320.680851
37.8180997,-122.2667133,6001401300,1724.787365
37.8207387,-122.2733758,6001401400,1456.701015
37.8229232,-122.2806358,6001401500,605.9409867
37.8173716,-122.2814825,6001401600,552.4033852
37.8134257,-122.3193044,6001401700,2257.882676
37.809532,-122.298236,6001401800,73.72950091
37.8063512,-122.2963076,6001402200,1039.218398
37.812031,-122.2824569,6001402400,246.3468448
37.8057305,-122.2847803,6001402500,648.0111193
37.8042711,-122.2799541,6001402600,906.461293
37.8103872,-122.2769914,6001402700,788.635544
37.8087183,-122.2715003,6001402800,637.0573432
37.8071501,-122.26681,6001402900,473.4797273
37.8004265,-122.270732,6001403000,1106.957318
37.8022742,-122.2755009,6001403100,994.4774519
37.7944308,-122.2663244,6001403300,1265.862973
37.8047578,-122.2616693,6001403400,517.4194447
37.8177294,-122.2600769,6001403501,1336.576405
37.8159606,-122.2569405,6001403502,1301.454097
37.8135127,-122.253492,6001403600,2185.724034
37.8112134,-122.2586656,6001403701,758.0722438
37.8095265,-122.2520804,6001403702,2012.918671
37.8148343,-122.2416233,6001403800,1169.109492
37.8171931,-122.2487541,6001403900,1708.170326
37.8232774,-122.2536542,6001404000,1146.940068
37.8300772,-122.2497952,6001404101,799.6617866
37.8260219,-122.2510667,6001404102,580.9198868
37.8361078,-122.2344651,6001404200,560.2984072
37.8451917,-122.2381008,6001404300,933.0045294
37.8462442,-122.2150894,6001404400,923.4895266
37.8271275,-122.2171515,6001404501,469.4575602
37.8345259,-122.2026154,6001404502,340.2205783
37.8197458,-122.1910599,6001404600,343.4144854
37.8133625,-122.2070119,6001404700,375.2320435
37.8055076,-122.2131962,6001404800,259.0766555
37.8041479,-122.2215015,6001404900,1621.378386
37.8121648,-122.2190899,6001405000,1813.727192
37.8114477,-122.2321836,6001405100,1676.351188
37.8052604,-122.2433878,6001405200,1759.228752
37.8020757,-122.2513558,6001405301,456.9665814
37.7985014,-122.2542495,6001405302,421.8986605
37.7965384,-122.2494562,6001405401,327.8384915
37.7933319,-122.2461006,6001405402,334.6669724
37.7982821,-122.243279,6001405500,217.5088524
37.8008019,-122.2372726,6001405600,1720.806205
37.7982307,-122.2296737,6001405700,1243.038339
37.7939452,-122.2330985,6001405800,106.5291818
37.787786,-122.2357701,6001405901,363.895698
37.7909446,-122.240953,6001405902,324.2109418
37.7875675,-122.246184,6001406000,1775.910139
37.7741552,-122.2275943,6001406100,1806.677233
37.7850448,-122.230736,6001406201,323.6236774
37.7819786,-122.2265557,6001406202,622.9669463
37.7892881,-122.2250125,6001406300,402.0794095
37.796806,-122.2217201,6001406400,1755.741996
37.7880813,-122.2169867,6001406500,636.2137641
37.7936085,-122.2079568,6001406601,1994.987397
37.7964782,-122.2143073,6001406602,1498.502438
37.8033164,-122.2022249,6001406700,453.9058383
37.7978944,-122.1949575,6001406800,777.0315209
37.7932754,-122.1903803,6001406900,973.8053346
37.787943,-122.2024899,6001407000,1584.455285
37.7831287,-122.2143966,6001407101,348.9065206
37.7807761,-122.2102385,6001407102,325.1301786
37.7777848,-122.2192819,6001407200,500.2496981
37.7621786,-122.2109235,6001407300,1658.41929
37.7710407,-122.2067479,6001407400,365.5385258
37.769515,-122.1976091,6001407500,571.6847921
37.7775293,-122.2031992,6001407600,311.1284641
37.7765228,-122.1931965,6001407700,282.6156138
37.7817414,-122.1866595,6001407800,1821.973549
37.7884276,-122.1847835,6001407900,1673.528035
37.805237,-122.1887608,6001408000,548.6532057
37.785376,-122.1574761,6001408100,1263.957459
37.7751005,-122.1755727,6001408200,436.518302
37.7710979,-122.1645166,6001408300,2230.553457
37.7646056,-122.1709595,6001408400,389.2543526
37.7604176,-122.1785112,6001408500,533.114937
37.7661964,-122.1823031,6001408600,475.3517228
37.7688611,-122.1889435,6001408700,354.9487948
37.7588039,-122.1969422,6001408800,722.3796788
37.7541816,-122.1887803,6001408900,668.7081393
37.7200105,-122.2213677,6001409000,1717.311566
37.7323261,-122.1834997,6001409100,3835.04054
37.7290846,-122.1777872,6001409200,4269.762889
37.737851,-122.1733521,6001409300,625.6382603
37.744613,-122.1803623,6001409400,670.8965602
37.7504463,-122.1837659,6001409500,399.1903286
37.7532669,-122.1726197,6001409600,296.7193444
37.7564187,-122.1658929,6001409700,238.789824
37.7603609,-122.1557636,6001409800,1787.417309
37.7619882,-122.1353845,6001409900,1446.30544
37.7447566,-122.1332163,6001410000,1791.808392
37.7478642,-122.1535285,6001410100,1828.783834
37.7453063,-122.1571742,6001410200,405.2985067
37.7466798,-122.1661407,6001410300,635.7233183
37.7408161,-122.1621741,6001410400,423.7274244
37.8100197,-122.288956,6001410500,530.1103093
37.8947731,-122.2910214,6001420100,255.583202
37.8944611,-122.2974624,6001420200,556.3819469
37.8906102,-122.3182668,6001420300,2097.780325
37.8886213,-122.3256618,6001420400,2220.417778
37.8867059,-122.2950048,6001420500,691.4273081
37.8870336,-122.2870621,6001420600,352.6814509
37.899434,-122.2661928,6001421100,126.8214851
37.8975481,-122.2752271,6001421200,169.1790501
37.8911093,-122.2813663,6001421300,283.2479183
37.8883409,-122.270922,6001421400,123.2718616
37.8920346,-122.2590314,6001421500,131.7513488
37.8839567,-122.2559829,6001421600,158.2547359
37.8819398,-122.2701843,6001421700,188.8821877
37.8802854,-122.2782006,6001421800,288.7259092
37.8794799,-122.2896443,6001421900,556.97488
37.8590327,-122.3013426,6001422000,2704.601212
37.8733005,-122.2965391,6001422100,637.3234915
37.8728822,-122.2878154,6001422200,764.1546687
37.8740723,-122.2779152,6001422300,738.8329926
37.8752396,-122.2695878,6001422400,432.6027369
37.8773131,-122.2603183,6001422500,311.5803925
37.8738125,-122.2545472,6001422600,219.4722896
37.8679125,-122.2495401,6001422700,20.92008492
37.8667875,-122.259979,6001422800,143.5907225
37.8678899,-122.269247,6001422900,371.7452012
37.8668441,-122.2771352,6001423000,836.1608147
37.865807,-122.2863197,6001423100,932.2571034
37.8645164,-122.2936857,6001423200,762.4209296
37.8573287,-122.2842021,6001423300,909.3878523
37.8583737,-122.275884,6001423400,742.2529583
37.859365,-122.2680467,6001423500,605.423531
37.8588968,-122.2587175,6001423601,705.5785975
37.8631882,-122.2592723,6001423602,242.091266
37.8618413,-122.248923,6001423700,440.2450392
37.8547587,-122.2441385,6001423800,752.6207468
37.8523001,-122.2675177,6001423901,1032.650686
37.8547152,-122.2573724,6001423902,655.2322359
37.8503526,-122.2746683,6001424001,1005.646116
37.8504976,-122.2815989,6001424002,873.049345
37.8381928,-122.3061755,6001425101,2874.745043
37.8400768,-122.2946582,6001425102,2115.146554
37.8426202,-122.2898443,6001425103,532.9581718
37.8326526,-122.2833798,6001425104,793.7501412
37.8216214,-122.2253292,6001426100,215.4249782
37.824626,-122.2406227,6001426200,440.3487443
37.765116,-122.2309908,6001427100,584.7755807
37.7847324,-122.2529164,6001427200,549.9155474
37.7810489,-122.2662775,6001427300,687.392859
37.7778323,-122.2835979,6001427600,801.3663664
37.7680009,-122.2852965,6001427700,672.0906361
37.7714922,-122.2690581,6001427800,494.7610798
37.7698045,-122.2582454,6001427900,279.6183656
37.7666414,-122.2475404,6001428000,537.2926036
37.7589136,-122.2346068,6001428100,488.6123407
37.7533266,-122.2396733,6001428200,654.6731983
37.7334484,-122.2406697,6001428301,511.4600198
37.7439709,-122.249779,6001428302,598.5995512
37.756593,-122.2563814,6001428400,399.4979876
37.7601324,-122.2593887,6001428500,294.7651738
37.766273,-122.2738461,6001428600,408.268198
37.7801283,-122.3050028,6001428700,1011.03674
37.7272587,-122.0152514,6001430101,4930.791686
37.7726562,-122.0747102,6001430102,258.6856131
37.7216743,-122.0615667,6001430200,517.7771761
37.7229094,-122.0837445,6001430300,260.3675311
37.7202531,-122.1010932,6001430400,208.5733244
37.704911,-122.1091519,6001430500,1451.44946
37.7041735,-122.0969654,6001430600,680.3505217
