Latitude,Longitude,Census_Tract,Value
37.8675947,-122.2319033,6001400100,55.9375
37.848171,-122.2495763,6001400200,37.4875
37.8405983,-122.2544365,6001400300,42.475
37.8482107,-122.2574628,6001400400,38.0
37.8485167,-122.2647445,6001400500,48.675
37.8419909,-122.2648882,6001400600,67.0625
37.8417578,-122.2723135,6001400700,52.4
37.8454493,-122.2833803,6001400800,34.2125
37.8394669,-122.2802437,6001400900,27.575
37.831217,-122.2719625,6001401000,77.125
37.8304835,-122.2638645,6001401100,83.8875
37.8305977,-122.2579072,6001401200,72.9125
37.8180997,-122.2667133,6001401300,82.4375
37.8207387,-122.2733758,6001401400,77.1625
37.8229232,-122.2806358,6001401500,28.8875
37.8173716,-122.2814825,6001401600,24.8875
37.8134257,-122.3193044,6001401700,90.275
37.809532,-122.298236,6001401800,0.6375
37.8063512,-122.2963076,6001402200,60.4625
37.812031,-122.2824569,6001402400,5.8125
37.8057305,-122.2847803,6001402500,31.9625
37.8042711,-122.2799541,6001402600,51.9875
37.8103872,-122.2769914,6001402700,43.4
37.8087183,-122.2715003,6001402800,31.2
37.8071501,-122.26681,6001402900,18.875
37.8004265,-122.270732,6001403000,64.3375
37.8022742,-122.2755009,6001403100,57.5
37.7944308,-122.2663244,6001403300,71.25
37.8047578,-122.2616693,6001403400,22.2375
37.8177294,-122.2600769,6001403501,73.4125
37.8159606,-122.2569405,6001403502,72.3
37.8135127,-122.253492,6001403600,89.65
37.8112134,-122.2586656,6001403701,41.0875
37.8095265,-122.2520804,6001403702,87.2875
37.8148343,-122.2416233,6001403800,67.375
37.8171931,-122.2487541,6001403900,82.1625
37.8232774,-122.2536542,6001404000,66.25
37.8300772,-122.2497952,6001404101,44.2625
37.8260219,-122.2510667,6001404102,26.875
37.8361078,-122.2344651,6001404200,25.5375
37.8451917,-122.2381008,6001404300,53.95
37.8462442,-122.2150894,6001404400,53.175
37.8271275,-122.2171515,6001404501,18.575
37.8345259,-122.2026154,6001404502,10.35
37.8197458,-122.1910599,6001404600,10.575
37.8133625,-122.2070119,6001404700,12.525
37.8055076,-122.2131962,6001404800,6.3125
37.8041479,-122.2215015,6001404900,80.5375
37.8121648,-122.2190899,6001405000,84.1125
37.8114477,-122.2321836,6001405100,81.525
37.8052604,-122.2433878,6001405200,83.0625
37.8020757,-122.2513558,6001405301,17.8
37.7985014,-122.2542495,6001405302,15.5375
37.7965384,-122.2494562,6001405401,9.725
37.7933319,-122.2461006,6001405402,10.0375
37.7982821,-122.243279,6001405500,4.7125
37.8008019,-122.2372726,6001405600,82.35
37.7982307,-122.2296737,6001405700,70.3125
37.7939452,-122.2330985,6001405800,1.2875
37.787786,-122.2357701,6001405901,11.875
