4. FACILITY NAME,12. LATITUDE,13. LONGITUDE,116. PRODUCTION WSTE (8.1-8.7)
KERN ENERGY,35.295278,-118.921111,11004.43349
PHILLIPS 66 SAN FRANCISCO REFINERY,38.0436,-122.2532,824699.559095
TORRANCE REFINING CO LLC,33.854967,-118.336907,2017463.023
CHEVRON MONTEBELLO TERMINAL,34.00535,-118.12262,5719.2
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,38.07167,-122.13975,16785819.479999997
CALPORTLAND THORNE RMC,36.74855,-119.81306,585.1
CHEVRON PRODUCTS CO. DIV OF CHEVRON USA INC.,33.9082,-118.4085,4079506.486853
CLEAN HARBORS BUTTONWILLOW LLC,35.401811,-119.612789,13209905.105945999
QUIKRETE - FREMONT CA PLANT,37.5092,-121.996746,0.0
SOLAR TURBINES INC HARBOR DRIVE,32.727752,-117.176234,248353.7531
PURINA ANIMAL NUTRITION LLC - TURLOCK,37.48492,-120.83574,0.0
WATTS REGULATOR CO.,38.69531,-121.75145,54953.0
TTM TECHNOLOGIES N.A. LLC,33.71149,-117.92179,496221.19
TTM TECHNOLOGIES N.A. LLC,32.83421,-117.15925,169.05
TTM TECHNOLOGIES N.A. LLC,37.36263,-121.93983,142135.885
TTM TECHNOLOGIES N.A. LLC,33.85513,-117.85636,57629.01
TRIUMPH ACTUATION SYSTEMS,34.440495,-118.625791,34130.0
HOLLIDAY ROCK - SANTA CLARITA FACILITY,34.43192,-118.3845,0.128
KLUNE INDUSTRIES INC.,34.203717,-118.4138,19741.24115
HERAEUS PRECIOUS METALS NA LLC,33.88794,-118.04559,793425.02
PHILLIPS 66 CARBON PLANT,38.01592,-122.23716,88668.658991
NALCO CO - CARSON,33.83922,-118.23044,2333.460295
FUJIFILM ULTRA PURE SOLUTIONS INC.,36.75394,-121.74037,21822.910000000003
CORTEVA AGRISCIENCE LLC,38.023129,-121.855352,4714931.12
SCHUFF STEEL CO,37.93747,-121.32235,137329.44
NORTH HOLLYWOOD PLANT 22,34.20555,-118.41883,26.400096
TESORO EAST HYNES TERMINAL,33.861739,-118.159904,1060634.2
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,33.8099,-118.2383,2371671.2200000007
TESORO WILMINGTON CALCINER,33.7762,-118.2279,0.7999999999999999
PHILLIPS 66 CO-SANTA MARIA REFINERY,35.038889,-120.589722,131904.2511
REMO INC,34.44965,-118.62671,10.52
FORGED METALS INC,34.05982,-117.47128,232357.0
HOLLIDAY ROCK - IRVINE FACILITY,33.6952,-117.82015,0.085
BRENNTAG PACIFIC INC,33.937333,-118.060278,41292.0
BRENNTAG PACIFIC INC,33.95745,-118.1888,0.0
BRENNTAG PACIFIC INC,36.745063,-119.83556,0.0
AVIATION REPAIR SOLUTIONS INC,33.78529,-118.21381,1275.534
TELEDYNE RELAYS A DIV OF TELEDYNE DEFENSE ELECTRONICS,33.919218,-118.322112,448.80002
TESORO - VINVALE TERMINAL,33.95277,-118.16408,159063.01
ULTRAMAR INC WILMINGTON REFINERY,33.7783,-118.2351,18834341.281636
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,33.774469,-118.290696,646779.40374
R&S PROCESSING CO INC,33.8904,-118.16542,0.0
NORMAN FOX & CO,33.99229,-118.21287,0.0
OLYMPUS TERMINALS LLC,33.80542,-118.22565,2721.99412
OLYMPUS TERMINALS LLC,33.751629,-118.208842,586.575455
AERC RECYCLING SOLUTIONS,37.61801,-122.0548,0.2
TECHNI-CAST CORP,33.92551,-118.16929,131649.35
U.S. NAVAL AIR STATION NORTH ISLAND,32.692783,-117.205267,43052.0
POLYCHEMIE INC,34.062207,-118.181206,5898.0
OKONITE CO INC,34.90602,-120.45306,1669108.0
GREIF INDUSTRIAL PACKAGING & SERVICES LLC,34.10419,-117.46025,12335.0
MARTINEZ REFINING CO LLC,38.016594,-122.115392,12699138.5834
CENTRAL VALLEY CHEESE,37.491831,-120.876678,48637.0
SILGAN CONTAINERS MFG CORP,38.510556,-121.467222,221441.76
SILGAN CONTAINERS MFG CORP,38.012354,-121.776464,488338.0
BAKER PETROLITE,35.400631,-119.052076,82943.4444
M. ARGUESO & CO. INC.,34.05978,-118.0731,195802.86
CAST-RITE CORP,33.88749,-118.26744,6000.0
PHILLIPS 66 LOS ANGELES REFINERY MARINE TERMINAL,33.754914,-118.270655,801.1
EVONIK CORP,34.01272,-118.21293,50910.0
OWENS CORNING ROOFING & ASPHALT LLC,33.90676,-118.22283,18.3446
RAYTHEON VISION SYSTEMS,34.43108,-119.86367,0.06728
RAYTHEON VISION SYSTEMS,34.66357,-120.4607,0.68
BABBITT BEARING CO INC,37.36051,-121.90296,281.0
CALPORTLAND CO MOJAVE PLANT,35.029298,-118.316236,6502.4231
NATIONAL CEMENT CO OF CALIFORNIA INC,34.820392,-118.749815,25356.0
US ECOLOGY VERNON INC.,33.994033,-118.215406,479022.77
TESORO - STOCKTON TERMINAL,37.942247,-121.334689,1120.1
CIREXX INTERNATIONAL,37.38198,-121.94852,300.25
MARTIN MARIETTA SOUTHERN CALIFORNIA CEMENT LLC - TEHACHAPI,35.12279,-118.369304,10687.1
DURA TECHNOLOGIES INC,34.05189,-117.37458,8769.0
EXCELSIOR INC.,36.774183,-119.685539,107894.0
EXCELSIOR INC.,36.79777,-119.696191,19705.0
VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,34.12158,-117.93669,12458275.090999998
LUMILEDS LLC,37.383465,-121.933101,397984.0
THUNDERBOLT WOOD TREATING,37.7327,-120.93279,8843.0
HAWKER PACIFIC AEROSPACE,34.20119,-118.37631,5310.2
WILBUR ELLIS CO LLC RIO LINDA HUB,38.686872,-121.481652,0.0
CHERRY AEROSPACE,33.716353,-117.855996,136708.0
CHEVRON PRODUCTS CO RICHMOND REFINERY,37.938779,-122.396453,2461567.230479
AOC L.L.C.,33.8311,-117.26157,18741.870000000003
VISTA METALS CORP.,34.0946,-117.51326,64534.1593
AEROSPACE DYNAMICS INTERNATIONAL INC.,34.43398,-118.58331,38403.0
INTEL CORP SC1/2,37.37704,-121.97766,2.0
NASA JET PROPULSION LABORATORY,34.201185,-118.167434,0.0017
VERITIV OPERATING CO - CA515 WEST SACRAMENTO,38.550217,-121.56539,19.0
PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,33.8048,-118.2431,336497.8
CYTEC SOLVAY COMPOSITE MATERIALS  ANAHEIM,33.86194,-117.86123,12231.0
PRC-DESOTO INTERNATIONAL INC.,34.9885,-118.15004,575218.49
AIR PRODUCTS & CHEMICALS INC.,33.812778,-118.231389,80208.0
AIR PRODUCTS & CHEMICALS INC.,33.780833,-118.241111,842266.0
METAL CONTAINER CORP-MIRA LOMA CAN PLANT,34.03031,-117.52116,485143.86699999997
GRISWOLD INDUSTRIES,33.63631,-117.9319,2491.1078
CHEVRON RICHMOND TECHNOLOGY CENTER,37.93047,-122.38944,9635.462562000002
TESORO HATHAWAY TERMINAL,33.79961,-118.155711,2755.5
FTG CIRCUITS,34.24807,-118.58587,260.0
U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER,34.23123,-116.05622,120927.79999999999
GFP ETHANOL LLC DBA CALGREN RENEWABLE FUELS,36.00301,-119.303791,611151.64
CALIFORNIA NATURAL PRODUCTS,37.82638,-121.27323,224032.0
THE JANKOVICH CO SAN PEDRO FIXED FACILITY,33.727846,-118.274206,0.011689
BENCHMARK ELECTRONICS MANUFACTURING SOLUTIONS(MOORPARK) INC,34.28133,-118.86912,2993.0
OLDCASTLE PRECAST INC,37.16724,-121.68908,2.6
OLDCASTLE PRECAST INC,34.0602,-117.47563,83.6
OLDCASTLE PRECAST INC,37.67474,-121.86206,1755.8
OLDCASTLE PRECAST INC,37.110304,-120.251305,4.4
OLDCASTLE PRECAST INC,32.868225,-116.919999,16.5
OLDCASTLE PRECAST INC,37.930483,-121.232919,954.8
HIGHTOWER PLATING & MFG CO INC.,33.82244,-117.85306,1993.13
URETHANE POLYMERS INTERNATIONAL,34.05719,-117.46258,43833.0
FUTURE FOAM INC,33.861944,-117.885833,365.1
CHEMICAL COMPOUNDING CO,37.75617,-122.20351,58.0
MONOGRAM AEROSPACE FASTENERS,33.9839,-118.14055,37268.10764
CUSTOM ALLOY SALES INC.,34.057,-117.988,52263.944709999996
HONEYWELL INTERNATIONAL INC,33.85833,-118.32108,55014.606
SANMINA PLANT # 2,37.376596,-121.916705,140736.271
CALIFORNIA DAIRIES INC TIPTON,36.0094,-119.3054,738903.0
SENIOR AEROSPACE INC SSP DIV,34.201757,-118.34136,10525.103794999999
JENSEN PRECAST,38.15242,-121.16625,2.470652
JENSEN PRECAST,38.66716,-121.42915,1.431798
JENSEN PRECAST,34.07723,-117.49487,2.931172
CALPORTLAND ORO GRANDE PLANT,34.6045,-117.3382,238.6483
SOLVAY USA INC,33.843611,-118.216389,123602.0
LUNDAY-THAGARD CO DBA WORLD OIL REFINING,33.946295,-118.16704,138135.96099999998
THE PROCTER & GAMBLE PAPER PRODUCT CO,34.20915,-119.14208,107399.6061
NATIONAL READY MIX CONCRETE CO .,34.118747,-117.983375,0.2
NATIONAL READY MIX CONCRETE CO .,34.196883,-118.596616,19.0
NATIONAL READY MIX CONCRETE CO .,34.23246,-118.37615,19.9
NATIONAL READY MIX CONCRETE CO .,33.69449,-117.82121,35.6
NATIONAL READY MIX CONCRETE CO .,33.87309,-118.08376,25.2
NATIONAL READY MIX CONCRETE CO .,34.424746,-118.498445,0.0
NATIONAL READY MIX CONCRETE CO .,34.17937,-118.46419,18.3
NATIONAL READY MIX CONCRETE CO .,34.287554,-118.868042,15.5
NATIONAL READY MIX CONCRETE CO .,34.146825,-118.274021,23.4
LOCKHEED MARTIN AERONAUTICS CO,34.60263,-118.116485,164257.0573
TESORO MARINE TERMINAL 2,33.777711,-118.209574,8838.2
ARKEMA COATING RESINS PLANT,33.855598,-118.34999,22977.0
SHERWIN-WILLIAMS CO,34.476183,-117.282931,21535.7
SHERWIN-WILLIAMS CO,32.87761,-117.17152,3823.5
FXI INC. - ORANGE,33.82137,-117.86208,518.41
"CUNICO CORP, A BWXT COMPANY",33.78732,-118.21838,23486.31
JABIL INC,37.69705,-121.80788,782174.2399999999
TESLA INC,37.49634,-121.94826,2468945.64
TESLA INC,37.79983,-121.29663,40988.84
HOLLIDAY ROCK - ONTARIO,34.05485,-117.63194,0.07
TROPITONE FURNITURE CO,33.50976,-117.16679,0.0
KEYSIGHT TECHNOLOGIES INC,38.483229,-122.712621,44004.0
KEYSIGHT TECHNOLOGIES INC,38.801831,-121.315754,0.0
JB RADIATOR SPECIALITIES INC,38.50241,-121.39416,48807.52
ALTAIR PARAMOUNT LLC,33.899645,-118.15141,134911.90800000002
V & M AEROSPACE,33.90386,-118.26529,47221.0
CLEAN HARBORS SAN JOSE LLC,37.36493,-121.88451,95330.05592
VSPONE OPTICAL TECHNOLOGY CENTERS SACRAMENTO,38.652142,-121.185597,11852.4
AIR PRODUCTS WEST COAST HYDROGEN - HP-1,38.014387,-122.114422,6412777.018
EPMAR CORP,33.94704,-118.04814,2010.0
BAKERSFIELD RENEWABLE FUELS LLC - AREA 3,35.393611,-119.0525,0.007
HUDSON TECHNOLOGIES CO,34.041144,-117.64051,2574.0
ULTRAMAR INC. MARINE TERMINAL,33.75828,-118.26676,682.3
ROHM & HAAS CHEMICALS LLC,37.628889,-122.127222,27662.6
SPECTRUM LABORATORY PRODUCTS INC.,33.90006,-118.26857,1777.0
CEMEX ORANGE PLANT,33.81735,-117.86747,0.0
CALPORTLAND CO GAREY PLANT,34.88687,-120.29997,0.0
GOOGLE LLC,37.500477,-121.930882,52247.0
DOUGLAS PRODUCTS & PACKAGING CO,38.02199,-121.85609,1500.0
HALLWOOD PLANT,39.191954,-121.494534,0.122
SAN JOAQUIN REFINING CO INC,35.39511,-119.04652,1977.4183
COSTCO OPTICAL LAB #908,32.66332,-117.11397,663853.5
PHILLIPS 66 LOS ANGELES TERMINAL,33.90916,-118.27841,1942.1
E & J GALLO WINERY,37.381463,-120.805985,2402.0
GENERAL COATINGS MANUFACTURING CORP,36.69336,-119.76767,1825.0
CALEX MFG CO INC,37.98368,-122.04896,0.0
SMITHFIELD PACKAGED MEATS CORP.,34.007246,-118.21929,78800.0
PAVESTONE - WINTERS CA PLANT,38.538858,-121.954511,0.0
UNIVAR SOLUTIONS USA INC.,33.9925,-118.133056,2354.54
UNIVAR SOLUTIONS USA INC.,37.50396,-122.210381,2.4
UNIVAR SOLUTIONS USA INC.,36.350999,-119.373432,2.7
FOSTER FARMS LIVINGSTON COMPLEX,37.392,-120.725,6776309.0
SIERRA ALUMINUM CO PLANT II,34.03888,-117.51828,711274.0
DYNATECT RO-LAB INC.,37.69591,-121.41356,0.0
STREAMLINE CIRCUITS,37.36532,-121.95547,47758.119999999995
EQUILON SAN JOSE TERMINAL,37.395171,-121.909701,683.1
ORCHID MPS,33.72074,-117.9135,2229.0
INEOS COMPOSITES US LLC,33.983333,-118.133333,61866.0
MCCLELLAN AIRTANKER BASE,38.6666,-121.39345,89.0
TST INC.  DBA TIMCO DBA TANDE M INDUSTRIES,34.044083,-117.521861,39783.165774
PHILLIPS INDUSTRIES,33.961375,-118.059015,0.0
INFINEON TECHNOLOGIES AMERICAS CORP,33.49944,-117.16294,137086.41999999998
ARCADIA INC.,34.01445,-118.20909,219377.0
GS II INC. (DBA CERTAINTEED),33.7775,-118.285277,88.4093
NORMAN FOX & CO.,34.025022,-117.975686,0.0
NUTRIEN AG SOLUTIONS,35.8864,-119.5006,4028.133
CRYSTAL CREAMERY INC.,37.64635,-121.01188,460309.0
HUSSMANN CORP,34.003165,-117.706579,89191.954302
W. R. GRACE,34.43406,-117.28163,16860.0
LINDE INC,33.82428,-118.23952,15816.0
LINDE INC,34.06354,-117.52929,2330.0
BALL METAL BEVERAGE CONTAINER CORP,38.27793,-121.97399,417851.52
OWENS CORNING SANTA CLARA PLANT,37.37431,-121.95348,146126.0
BUILDING MATERIALS MANUFACTURING CORP,34.03564,-117.52154,1.6899000000000002
BUILDING MATERIALS MANUFACTURING CORP,35.4927,-119.1602,3728.0
HUGHES CIRCUITS INC,33.13551,-117.19955,13599.89
SUMMIT MACHINE LLC,34.0337,-117.58736,727834.0
CHAMPIONX-BAKERSFIELD,35.31312,-119.07386,1901.357
TELEDYNE IMAGING SENSORS,34.21348,-118.99803,596.32451
MECS INC.,38.02342,-122.053723,92079.0
GENERAL DYNAMICS (NASSCO),32.69109,-117.1337,361165.5
TESORO - SAN DIEGO TERMINAL,32.6941,-117.14152,53638.0
CALPORTLAND TURLOCK RMC,37.5073,-120.86361,234.6
AMERICAS STYRENICS LLC,33.84641,-118.32878,438628.0
DANCO ANODIZING (DBA DANCO METAL SURFACING),34.14447,-118.0296,51156.0
DANCO ANODIZING (DBA DANCO METAL SURFACING),34.03279,-117.61371,50663.0
DANCO ANODIZING (DBA DANCO METAL SURFACING),33.70977,-117.87353,52666.0
TRANSENE CO OAKLAND,37.76309,-122.20617,45.0
ENGINEERED POLYMER SOLUTIONS INC,33.987111,-118.165944,200509.0
INTERPLASTIC CORP,33.92036,-118.31783,88394.0
PACIFIC ALLOY CASTINGS,33.94857,-118.15949,5277.6900000000005
SIERRA PACIFIC INDUSTRIES  ANDERSON DIV,40.46889,-122.31696,0.297349
LENTHOR  ENGINEERING,37.42644,-121.89767,18770.561
SUN CITY PLANT 8,33.750317,-117.187802,93.279873
"MARQUEZ BROTHERS INTERNATIONAL, INC- DAIRY & WHEY PLANT",36.32347,-119.653443,168392.0
CEMEX STOCKTON PLANT,37.85561,-121.26498,0.0
BRISTOL INDUSTRIES LLC,33.92512,-117.88609,227933.098439
CCI INC,34.01225,-118.20808,0.0
ATI FORGED PRODUCTS,33.63997,-117.72025,235.8
BAKERSFIELD RENEWABLE FUELS LLC - AREAS 1 & 2,35.3825,-119.070556,17815.039999999997
EQUILON MORMON ISLAND TERMINAL,33.760449,-118.262176,931.7
ACTAGRO LLC,36.800833,-120.024444,314081.0
CALPORTLAND CO SANTA MARIA PLANT,34.96746,-120.41004,7.0
DANIEL MECHANICAL LLC,34.55767,-117.44775,30661.0
PSI BEARINGS,34.2751,-118.79946,61927.0
ARMTEC DEFENSE  TECHNOLOGIES,33.663931,-116.16593,75201.0
NEWPORT FAB LLC (DBA TOWERJAZZ),33.66196,-117.85845,682368.8
FRESNO VALVES & CASTINGS INC.,36.59813,-119.65095,116.426
SOUTHERN COUNTIES OIL CO. LP D.B.A. SC FUELS,37.59489,-120.99082,1124.0
SOUTHERN COUNTIES OIL CO. LP D.B.A. SC FUELS,34.24885,-119.16044,594.0
SOUTHERN COUNTIES OIL CO. LP D.B.A. SC FUELS,36.6992,-119.7637,0.0
ALUMINUM PRECISION PRODUCTS INC.,34.141448,-119.168534,41233.2
SILGAN CONTAINER MANUFACTURING CORP.,37.73271,-120.936945,262088.0
TESLA INC.,37.469273,-121.928566,1243807.9900000002
TEKNOR APEX CO,34.03259,-117.98295,2305.3242
TRIUMPH PROCESSING-EMBEE DIV,33.739149,-117.852949,14924.66
U.S. ARMY NATIONAL GUARD CAMP ROBERTS RANGES,35.784431,-120.727939,16135.0
HJ BAKER & BRO LLC,37.945804,-121.33333,11.0
HJ BAKER & BRO LLC,33.7831,-118.23258,24775.0
DEMENNOKERDOON DBA WORLD OIL RECYCLING,33.910116,-118.221906,12552523.708329998
CEMEX SANTA CLARA,37.38735,-121.95689,0.0
UNIVAR SOLUTIONS FAIRFIELD CA,38.27483,-121.98363,5904.44
ARDAGH METAL BEVERAGE USA INC  RE: FAIRFIELD PLANT,38.27476,-121.9839,503205.5
MEGGITT SAFETY SYSTEMS INC,34.27051,-118.72082,18124.0
DURAVENT INC.,38.400529,-121.953469,13715.177
H.B. FULLER CO,38.78,-121.303611,173972.43
ALLTECH INC,34.0427,-117.63339,4871.0
CHEMICAL WASTE MANAGEMENT INC,35.95943,-120.00865,5272589.973126001
AXALTA COATINGS SYSTEMS USA LLC,38.529505,-121.399038,0.0
TRICAL MOJAVE,35.028056,-118.160833,26129.0
BACHEM AMERICAS INC.,33.14454,-117.234351,1407703.0
BACHEM AMERICAS INC.,33.81511,-118.33985,862853.0
QUALITEK INC (DBA WESTAK),37.40743,-121.99203,72858.0
GKN AEROSPACE CHEM-TRONICS INC,32.816944,-116.977222,1749219.9100000001
ANHEUSER-BUSCH LLC - FAIRFIELD BREWERY,38.23906,-122.09023,63071.0
WESTERN TUBE & CONDUIT CORP,33.83922,-118.23457,2513200.1
ANTIOCH,38.01229,-121.75369,0.0
CEMEX PLEASANTON READY-MIX,37.67335,-121.83019,0.0
BEHR PROCESS CORP - GARRY & YALE,33.70564,-117.91566,12046.310000000001
CALIFORNIA EXPANDED METALS CO,34.04755,-118.000518,0.0
CALIFORNIA EXPANDED METALS CO,38.01939,-121.87277,0.0
ALUMINUM PRECISION PRODUCTS INC,33.71343,-117.91278,95984.8838
SAPUTO CHEESE USA INC,37.25551,-120.99597,131442.14
SAPUTO CHEESE USA INC,33.931251,-118.172539,156244.0
SAPUTO CHEESE USA INC,37.31108,-121.01614,720836.45
SAPUTO CHEESE USA INC,36.21419,-119.349257,9321.0
GAF MATERIAL CORP (DBA US INTEC),38.00018,-121.21467,83.707
CALIFORNIA STEEL INDUSTRIES INC.,34.07737,-117.499688,388597.8
ECO SERVICES OPERATIONS CORP.,38.034722,-122.112778,13657.5
A&A READY MIXED CONCRETE INC.,33.8929,-118.27696499999999,68.01
A&A READY MIXED CONCRETE INC.,33.80711,-118.18225,42.54
VALERO WILMINGTON ASPHALT PLANT,33.79699,-118.23971,2111.39
INEOS POLYPROPYLENE LLC,33.82399,-118.23177,1216194.0
ARLON EMD,34.08177,-117.54414,129310.0
BROWN-PACIFIC INC.,33.90528,-118.04036,284049.29
MILLER CASTINGS INC.,34.02953,-118.0394,19434.0
